id,Программа,Источник,Подтверждённые часы
e5387b68e563d60d,ДПП Бурение нефтяных и газовых скважин,"Список программ ДПП.pdf, пункт 104",
a01ce9a7244d6958,ДПП Бизнес-тренер с дополнительной специализацией в области обучения персонала,"Список программ ДПП.pdf, пункт 105",
3f24913b40b77d8d,ДПП Библиотековедение. Основные виды деятельности в библиотечном деле,"Список программ ДПП.pdf, пункт 106",
73fd0c85c03ab591,ДПП Безопасность технологических процессов и производств,"Список программ ДПП.pdf, пункт 107",
5ca1df4f712daecf,ДПП Безопасность строительства и осуществление строительного контроля,"Список программ ДПП.pdf, пункт 109",
b7d59f1f74067d5c,ДПП Безопасность строительства и качества выполнения общестроительных работ,"Список программ ДПП.pdf, пункт 110",
3c62b6105c086aea,"ДПП Архивное дело: технологии хранения, документоведение","Список программ ДПП.pdf, пункт 111",
f1bfda899ba19652,ДПП Автомобили и автомобильное хозяйство,"Список программ ДПП.pdf, пункт 112",
0bd267a5ab716019,ДПП Автоматизированные системы управления технологическими процессами,"Список программ ДПП.pdf, пункт 113",
60a71ec14b99190d,ДПП Автоматизация технологических процессов и производств в нефтяной и газовой промышленности,"Список программ ДПП.pdf, пункт 114",
f4413b634e7329ab,ДПП Специалист по пожарной профилактике,"Список программ ДПП.pdf, пункт 115",
